State Code,State Name,Bizom ERP ID,Material Number,Material Description,MRP(ZPR1-933),Disc1(ZZDP-761) Per%,Disc1(ZZDP-762) Per%,Disc2(ZZPD-761) Per%,Disc2(ZZPD-762) Per%,Disc4(ZQDI-761) Per%,Disc4(ZQDI-762) Per%,Distributor Landing,Disc3(ZPCD-946) %, discount 1,After first dicount value, 2 discount,after 2 discount,CD,after CD discount
33,Chhattisgarh,,3SWPDAP3M075,"3L SWR PIPE ARType A D/S P/F 7.5cm2.5""3m",721,0,59.41,0,15,0,0,248.76,1.5,428.3461,292.65,43.898085,248.76,3.731337225,245.02
33,Chhattisgarh,,3SWPDAP3M110,"3L SWR PIPE AR Type A D/S P/F 11cm(4"")3m","1,305.00",0,59.41,0,15,0,0,450.24,1.5,775.3005,529.7,79.454925,450.24,6.753668625,443.49
33,Chhattisgarh,,3SWPDAP6F110,"3L SWR PIPE AR Type A D/S P/F 11cm4""1.8m",840,0,59.41,0,15,0,0,289.81,1.5,499.044,340.96,51.1434,289.81,4.347189,285.47
33,Chhattisgarh,,3SWPSAP3M075,"3L SWR PIPE ARType A S/S P/F 7.5cm2.5""3m",684,0,59.41,0,15,17.05,0,195.75,1.5,406.3644,277.64,41.64534,235.99,3.5398539,232.45
33,Chhattisgarh,,3SWPSAP3M090,"3L SWR PIPE AR Type A S/S P/F 9cm(3"") 3m",984,0,59.41,0,15,0,0,339.49,1.5,584.5944,399.41,59.91084,339.49,5.0924214,334.4
33,Chhattisgarh,,3SWPSAP3M110,"3L SWR PIPE AR Type A S/S P/F 11cm(4"")3m","1,188.00",0,59.41,0,15,14.94,0,348.64,1.5,705.7908,482.21,72.33138,409.88,6.1481673,403.73
33,Chhattisgarh,,3SWPSAP3M160,"3L SWR PIPE AR Type A S/S P/F 16cm(6"")3m","2,680.00",0,59.41,0,15,0,0,924.64,1.5,1592.188,"1,087.81",163.1718,924.64,13.869603,910.77
33,Chhattisgarh,,3SWPSAP6M110,"3L SWR PIPE AR Type A S/S P/F 11cm(4"")6m","2,363.00",0,59.41,0,15,0,0,815.27,1.5,1403.8583,959.14,143.871255,815.27,12.22905668,803.04
33,Chhattisgarh,,3SWPSAS3M075,"3L SWR PIPE ARType A S/S S/F 7.5cm2.5""3m",667,0,59.41,0,15,0,0,230.13,1.5,396.2647,270.74,40.610295,230.13,3.451875075,226.67
33,Chhattisgarh,,3SWPSAS3M110,"3L SWR PIPE AR Type A S/S S/F 11cm(4"")3m","1,171.00",0,59.41,0,15,0,0,404.01,1.5,695.6911,475.31,71.296335,404.01,6.060188475,397.95
33,Chhattisgarh,,3SWPSAS3M160,"3L SWR PIPE AR Type A S/S S/F 16cm(6"")3m","2,680.00",0,59.41,0,15,0,0,924.64,1.5,1592.188,"1,087.81",163.1718,924.64,13.869603,910.77
